entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,entry_components
2026-01-02T07:30:00.000000000Z,2026-01-02T07:30:00.000000000Z,LONG,21000.00,0.00,0.66943,0.66943,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-02T07:30:00.000000000Z,2026-01-02T09:30:00.000000000Z,LONG,21000.00,21000.00,0.66943,0.66993,EXIT,FLIP,5.00,5.00,10.5000,-1.90,10.5000,8,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-02T09:30:00.000000000Z,2026-01-02T09:30:00.000000000Z,SHORT,21000.00,0.00,0.66993,0.66993,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,10.5000,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-01-02T09:30:00.000000000Z,2026-01-02T12:00:00.000000000Z,SHORT,21000.00,21000.00,0.66993,0.66937,EXIT,FLIP,5.60,5.60,11.7600,-2.00,22.2600,10,cross=1;pullback=0;rejoin=0;continuation=0
2026-01-02T12:00:00.000000000Z,2026-01-02T12:00:00.000000000Z,LONG,21000.00,0.00,0.66937,0.66937,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,22.2600,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-02T12:00:00.000000000Z,2026-01-02T16:30:00.000000000Z,LONG,21000.00,21000.00,0.66937,0.66851,EXIT,FLIP,-8.60,-8.60,-18.0600,-12.40,4.2000,18,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-02T16:30:00.000000000Z,2026-01-02T16:30:00.000000000Z,SHORT,21000.00,0.00,0.66851,0.66851,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,4.2000,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-01-02T16:30:00.000000000Z,2026-01-02T17:15:00.000000000Z,SHORT,21000.00,21000.00,0.66851,0.66896,EXIT,FLIP,-4.50,-4.50,-9.4500,-4.20,-5.2500,3,cross=0;pullback=1;rejoin=1;continuation=0
2026-01-02T17:15:00.000000000Z,2026-01-02T17:15:00.000000000Z,LONG,21000.00,0.00,0.66896,0.66896,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-5.2500,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-01-02T17:15:00.000000000Z,2026-01-02T21:30:00.000000000Z,LONG,21000.00,21000.00,0.66896,0.66921,EXIT,FLIP,2.50,2.50,5.2500,-12.00,-0.0000,17,cross=1;pullback=0;rejoin=0;continuation=0
2026-01-02T21:30:00.000000000Z,2026-01-02T21:30:00.000000000Z,SHORT,21000.00,0.00,0.66921,0.66921,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.0000,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-02T21:30:00.000000000Z,2026-01-05T01:15:00.000000000Z,SHORT,21000.00,21000.00,0.66921,0.66831,EXIT,FLIP,9.00,9.00,18.9000,-3.50,18.9000,15,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-05T01:15:00.000000000Z,2026-01-05T01:15:00.000000000Z,LONG,21000.00,0.00,0.66831,0.66831,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,18.9000,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-05T01:15:00.000000000Z,2026-01-05T07:30:00.000000000Z,LONG,21000.00,21000.00,0.66831,0.66745,EXIT,FLIP,-8.60,-8.60,-18.0600,-17.90,0.8400,25,cross=0;pullback=1;rejoin=0;continuation=0
2026-01-05T07:30:00.000000000Z,2026-01-05T07:30:00.000000000Z,SHORT,21000.00,0.00,0.66745,0.66745,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,0.8400,0,cross=1;pullback=0;rejoin=0;continuation=0
